id,title,credits,download_icon0,download_icon0_mirror,download_url,download_url_mirror,download_readme,download_readme_mirror,download_src,download_src_mirror,time_added,config_type,options,type,depends,visible
vFlux,vFlux,Applelo,None,None,https://github.com/Applelo/vFlux/releases/download/0.5/vFlux.suprx,None,https://raw.githubusercontent.com/Applelo/vFlux/master/README.md,None,https://github.com/Applelo/vFlux.git,None,1591214249,TAI,*ALL,PLUGIN,None,True
VitaShellKernel,usbmc,yifanlu,None,None,https://github.com/yifanlu/usbmc/releases/download/v6/usbmc.skprx,None,https://raw.githubusercontent.com/yifanlu/usbmc/master/README.md,None,https://github.com/yifanlu/usbmc.git,None,1591214285,TAI,*KERNEL,PLUGIN,None,True
QuickPower,quick_power,cuevavirus,None,None,https://forum.devchroma.nl/index.php?action=dlattach;topic=78.0;attach=55,None,None,None,None,None,1591213574,TAI,*main,PLUGIN,None,True
reScreeny,rescreeny,dots-tb,None,None,https://github.com/dots-tb/reScreeny/releases/download/1.2/reScreeny.suprx,None,https://raw.githubusercontent.com/dots-tb/rescreeny/master/README.md,None,https://github.com/dots-tb/rescreeny.git,None,1591213176,TAI,*NPXS10036,PLUGIN,None,True
repatch,rePatch-reDux0,dots-tb & SilicaAndPina & CelesteBlue,None,None,https://github.com/dots-tb/rePatch-reDux0/releases/download/3.0/repatch.skprx,None,https://raw.githubusercontent.com/dots-tb/rePatch-reDux0/master/README.md,None,https://github.com/dots-tb/rePatch-reDux0.git,None,1591213260,TAI,*KERNEL,PLUGIN,None,True
pngshot,pngshot,xyzz,None,None,https://github.com/xyzz/pngshot/releases/download/v1.3/pngshot.suprx,None,https://raw.githubusercontent.com/xyzz/pngshot/master/README.md,None,https://github.com/xyzz/pngshot.git,None,1591214200,TAI,*main,PLUGIN,None,True
SysidentUser,sysident,Princess of Sleeping,None,None,https://github.com/cuevavirus/sysident/releases/download/v1.0/sysident.suprx,None,https://raw.githubusercontent.com/cuevavirus/sysident/master/README.md,None,https://github.com/cuevavirus/sysident.git,None,1591213095,TAI,*NPXS10015|*NPXS10016,PLUGIN,None,True
ds4vita,ds4vita,xerpi,None,None,https://github.com/xerpi/ds4vita/releases/download/hooks/ds4vita.skprx,None,https://raw.githubusercontent.com/xerpi/ds4vita/master/README.md,None,https://github.com/xerpi/ds4vita.git,None,1591214312,TAI,*KERNEL,PLUGIN,None,True
AKRK00001,LOLIcon Fast Switch,cuevavirus,https://raw.githubusercontent.com/cuevavirus/LOLIconFastSwitch/master/sce_sys/icon0.png,None,https://github.com/cuevavirus/LOLIconFastSwitch/releases/download/v1.0.0/LOLIconFastSwitch.vpk,None,https://raw.githubusercontent.com/cuevavirus/LOLIconFastSwitch/master/README.md,None,https://github.com/cuevavirus/LOLIconFastSwitch.git,None,1591213393,None,None,VPK,None,True
LOLIcon_03,LOLIcon,dots-tb,None,None,https://github.com/dots-tb/LOLIcon/releases/download/1.0.1/LOLIcon.skprx,None,https://raw.githubusercontent.com/dots-tb/LOLIcon/master/README.md,None,https://github.com/dots-tb/LOLIcon.git,None,1591213209,TAI,*KERNEL,PLUGIN,None,True
APWRFRESH,Easy Power Refresh,Team ONElua,https://raw.githubusercontent.com/ONElua/Easy-Power-Refresh/master/EasyPowerRefresh/sce_sys/icon0.png,None,https://github.com/ONElua/Easy-Power-Refresh/releases/download/2.01/Easy-Power-Refresh.vpk,None,https://raw.githubusercontent.com/ONElua/Easy-Power-Refresh/master/README.md,None,https://github.com/ONElua/Easy-Power-Refresh.git,None,1591227747,None,None,VPK,None,True
LOLIcon_01,lolita500,teakhanirons,None,None,https://github.com/teakhanirons/lolita500/releases/download/1.0/lolita500.skprx,None,https://raw.githubusercontent.com/teakhanirons/lolita500/master/README.md,None,https://github.com/teakhanirons/lolita500.git,None,1591134736,TAI,*KERNEL,PLUGIN,None,True
shellbat,vita-shellbat,nowrep,None,None,https://github.com/nowrep/vita-shellbat/releases/download/r10/shellbat.suprx,None,https://raw.githubusercontent.com/nowrep/vita-shellbat/master/README.md,None,https://github.com/nowrep/vita-shellbat.git,None,1591133359,TAI,*main,PLUGIN,None,True
StorageMgrKernel,PSVita-StorageMgr,CelesteBlue-dev,None,None,https://github.com/CelesteBlue-dev/PSVita-StorageMgr/releases/download/v3.2/storagemgr.skprx,None,https://raw.githubusercontent.com/CelesteBlue-dev/PSVita-StorageMgr/master/README.md,None,https://github.com/CelesteBlue-dev/PSVita-StorageMgr.git,None,1591133332,TAI,*KERNEL,PLUGIN,None,True
TropHax,TropHAX,SilicaServer,None,None,https://bitbucket.org/SilicaAndPina/trophax/downloads/trophax2.0.suprx,None,https://bitbucket.org/SilicaAndPina/trophax/raw/bad8c2dbb14b3280954140e289c8c6928c0b50fd/README.md,None,None,None,1591133208,TAI,*ALL,PLUGIN,None,True
noWhitelist,nopsmwhitelist,SilicaAndPina,None,None,https://bitbucket.org/SilicaAndPina/nopsmwhitelist/downloads/noPsmWhitelist.skprx,None,https://bitbucket.org/SilicaAndPina/nopsmwhitelist/raw/657b4a4045ac0e1b000bb52a06d48d9067325e41/README.md,None,https://bitbucket.org/SilicaAndPina/nopsmwhitelist/downloads/noPsmWhitelist.skprx,None,1591133126,TAI,*KERNEL,PLUGIN,None,True
0syscall6,0syscall6,SKGleba,None,None,https://github.com/SKGleba/0syscall6/releases/download/v1.3/0syscall6.skprx,None,https://raw.githubusercontent.com/SKGleba/0syscall6/master/README.md,None,https://github.com/SKGleba/0syscall6.git,None,1591133025,TAI,*KERNEL,PLUGIN,None,True
NoPowerLimits,NoPowerLimitsVita,Electry,None,None,https://github.com/Electry/NoPowerLimitsVita/releases/download/v1.1/NoPowerLimits.skprx,None,https://raw.githubusercontent.com/Electry/NoPowerLimitsVita/master/README.md,None,https://github.com/Electry/NoPowerLimitsVita.git,None,1591132984,TAI,*KERNEL,PLUGIN,None,True
VGi,VGi,Electry,None,None,https://github.com/Electry/VGi/releases/download/v0.7/VGi.suprx,None,https://raw.githubusercontent.com/Electry/VGi/master/README.md,None,https://github.com/Electry/VGi.git,None,1591132962,TAI,*ALL,PLUGIN,None,True
oclockvita,oclockvita,frangarcj,None,None,https://github.com/frangarcj/oclockvita/releases/download/1.2.1/oclockvita.suprx,None,https://raw.githubusercontent.com/frangarcj/oclockvita/master/README.md,None,https://github.com/frangarcj/oclockvita.git,None,1591132908,TAI,*ALL,PLUGIN,None,True
LOLIcon_02,DerInClocKS,teakhanirons,None,None,https://github.com/teakhanirons/DerInClocKS/releases/download/1.0/derinclocks.skprx,None,None,None,https://github.com/teakhanirons/DerInClocKS.git,None,1591132722,TAI,*KERNEL,PLUGIN,None,True
hcstudio,hcstudio,teakhanirons,None,None,https://github.com/teakhanirons/hcstudio/releases/download/1.0/hcstudio.skprx,None,https://raw.githubusercontent.com/teakhanirons/hcstudio/master/README.md,None,https://github.com/teakhanirons/hcstudio.git,None,1591132676,TAI,*KERNEL,PLUGIN,None,True
LOLIcon,lolita444,teakhanirons,None,None,https://github.com/teakhanirons/lolita500/releases/download/0.5/lolita444.skprx,None,https://raw.githubusercontent.com/teakhanirons/lolita500/master/README.md,None,https://github.com/teakhanirons/lolita500.git,None,1591132595,TAI,*KERNEL,PLUGIN,None,True
ftpeverywhere,ftpeverywhere,teakhanirons,None,None,https://github.com/teakhanirons/ftpeverywhere/releases/download/1.0/ftpeverywhere.suprx,None,https://raw.githubusercontent.com/teakhanirons/ftpeverywhere/master/README.md,None,https://github.com/teakhanirons/ftpeverywhere.git,None,1591132472,TAI,*main,PLUGIN,None,True
udcd_uvc,vita-udcd-uvc,xerpi,None,None,https://github.com/xerpi/vita-udcd-uvc/releases/download/1.5/udcd_uvc.skprx,None,https://raw.githubusercontent.com/xerpi/vita-udcd-uvc/master/README.md,None,https://github.com/xerpi/vita-udcd-uvc.git,None,1590640022,TAI,*KERNEL,PLUGIN,None,True
SHORTCUTS,ShortCuts Enhancer,Team ONElua,https://raw.githubusercontent.com/ONElua/Shortcuts-Enhancer/master/SHORTCUTS/sce_sys/icon0.png,None,https://github.com/ONElua/Shortcuts-Enhancer/releases/download/2.00/Shortcuts-Enhancer.vpk,None,https://raw.githubusercontent.com/ONElua/Shortcuts-Enhancer/master/README.md,None,https://github.com/ONElua/Shortcuts-Enhancer.git,None,1590600956,None,None,VPK,None,True
ARKFAST00,ArkFast,Team ONElua,https://raw.githubusercontent.com/ONElua/ArkFast/master/sce_sys/icon0.png,None,https://github.com/ONElua/ArkFast/releases/download/2.30/ArkFast.vpk,None,https://raw.githubusercontent.com/ONElua/ArkFast/master/README.md,None,https://github.com/ONElua/ArkFast.git,None,1590600352,None,None,VPK,None,True
FreePSM,FreePSM,SilicaAndPina,None,None,https://bitbucket.org/SilicaAndPina/freepsm/downloads/FreePSM-v1.1.suprx,None,https://bitbucket.org/SilicaAndPina/freepsm/raw/master/README.md,None,https://bitbucket.org/SilicaAndPina/freepsm.git,None,1590599406,TAI,*ALL,PLUGIN,None,True
NoNpDrm_01,NoPsmDrm,frangarcj,None,None,https://github.com/frangarcj/NoPsmDrm/releases/download/v1.4/nopsmdrm.skprx,None,https://raw.githubusercontent.com/frangarcj/NoPsmDrm/master/README.md,None,https://github.com/frangarcj/NoPsmDrm.git,None,1590598578,TAI,*KERNEL,PLUGIN,None,True
